Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
19-SEP-2025,9.885,10.255,9.3975,9.97,9.885,0.09,0.86
22-SEP-2025,9.9675,10.7325,9.9675,10.56,9.9675,0.59,5.94
23-SEP-2025,10.5575,10.9025,9.9625,10.63,10.5575,0.07,0.69
24-SEP-2025,10.625,10.8925,10.1125,10.52,10.625,-0.11,-0.99
25-SEP-2025,10.5225,10.8975,10.285,10.78,10.5225,0.26,2.45
26-SEP-2025,10.7825,11.6775,10.17,11.43,10.7825,0.65,6.01
29-SEP-2025,11.425,11.725,10.615,11.37,11.425,-0.06,-0.48
30-SEP-2025,11.365,11.7875,10.93,11.07,11.365,-0.30,-2.60
01-OCT-2025,11.065,11.255,10.1525,10.29,11.065,-0.78,-7.00
03-OCT-2025,10.2875,10.6225,9.945,10.06,10.2875,-0.23,-2.21
06-OCT-2025,10.06,10.5375,9.6575,10.19,10.06,0.13,1.29
07-OCT-2025,10.1925,10.45,10,10.05,10.1925,-0.14,-1.40
08-OCT-2025,10.05,10.5225,9.6875,10.31,10.05,0.26,2.59
09-OCT-2025,10.3125,10.565,9.9975,10.12,10.3125,-0.19,-1.87
10-OCT-2025,10.12,10.3425,9.71,10.1,10.12,-0.02,-0.20
13-OCT-2025,10.1025,11.2575,9.7775,11.01,10.1025,0.91,8.98
14-OCT-2025,11.0075,11.6675,10.0125,11.16,11.0075,0.15,1.39
15-OCT-2025,11.155,11.155,10.4325,10.53,11.155,-0.63,-5.60
16-OCT-2025,10.53,11.0575,10.3825,10.87,10.53,0.34,3.23
17-OCT-2025,10.865,11.81,9.775,11.63,10.865,0.77,7.04
20-OCT-2025,11.625,11.8775,10.6675,11.36,11.625,-0.27,-2.28
21-OCT-2025,11.355,11.595,10.7,11.3,11.355,-0.06,-0.48
23-OCT-2025,11.2975,12.05,10.7375,11.73,11.2975,0.43,3.83
24-OCT-2025,11.7325,11.94,11.4375,11.59,11.7325,-0.14,-1.21
27-OCT-2025,11.59,12.7275,11.2775,11.86,11.59,0.27,2.33
28-OCT-2025,11.8575,12.635,10.705,11.95,11.8575,0.09,0.78
29-OCT-2025,11.9525,12.1025,11.2275,11.97,11.9525,0.02,0.15
30-OCT-2025,11.9725,12.2725,11.705,12.07,11.9725,0.10,0.81
31-OCT-2025,12.0675,12.2875,11.77,12.15,12.0675,0.08,0.68
03-NOV-2025,12.1525,12.94,11.7875,12.67,12.1525,0.52,4.26
04-NOV-2025,12.665,12.935,10.98,12.65,12.665,-0.02,-0.12
06-NOV-2025,12.6525,12.865,12.0575,12.41,12.6525,-0.24,-1.92
07-NOV-2025,12.41,12.6675,11.9575,12.56,12.41,0.15,1.21
10-NOV-2025,12.5575,12.9275,11.405,12.3,12.5575,-0.26,-2.05
11-NOV-2025,12.3,13.005,11.9925,12.49,12.3,0.19,1.54
12-NOV-2025,12.49,12.7125,11.4425,12.11,12.49,-0.38,-3.04
13-NOV-2025,12.11,12.2725,11.23,12.16,12.11,0.05,0.41
14-NOV-2025,12.1625,12.445,11.8025,11.94,12.1625,-0.22,-1.83
17-NOV-2025,11.9375,12.28,10.895,11.79,11.9375,-0.15,-1.24
18-NOV-2025,11.7875,12.29,10.94,12.1,11.7875,0.31,2.65
19-NOV-2025,12.095,12.375,10.765,11.97,12.095,-0.13,-1.03
20-NOV-2025,11.9725,12.3775,11.055,12.14,11.9725,0.17,1.40
21-NOV-2025,12.135,13.85,12.135,13.63,12.135,1.50,12.32
24-NOV-2025,13.63,13.63,11.9375,13.24,13.63,-0.39,-2.86
25-NOV-2025,13.235,13.235,10.855,12.24,13.235,-1.00,-7.52
26-NOV-2025,12.2425,12.5725,11.585,11.97,12.2425,-0.27,-2.23
27-NOV-2025,11.9675,12.2425,11.5075,11.79,11.9675,-0.18,-1.48
28-NOV-2025,11.785,11.785,10.8175,11.62,11.785,-0.17,-1.40
01-DEC-2025,11.6175,12.01,10.9,11.63,11.6175,0.01,0.11
02-DEC-2025,11.625,11.94,11.03,11.23,11.625,-0.40,-3.40
03-DEC-2025,11.2275,11.3725,10.915,11.21,11.2275,-0.02,-0.16
04-DEC-2025,11.2125,11.27,10.58,10.82,11.2125,-0.39,-3.50
05-DEC-2025,10.8175,10.8675,10.1575,10.32,10.8175,-0.50,-4.60
08-DEC-2025,10.315,11.61,10.135,11.13,10.315,0.82,7.90
09-DEC-2025,11.125,11.8825,10.455,10.95,11.125,-0.18,-1.57
10-DEC-2025,10.9525,11.4225,10.49,10.91,10.9525,-0.04,-0.39
11-DEC-2025,10.9125,11.1925,10.3175,10.4,10.9125,-0.51,-4.70
12-DEC-2025,10.4,10.4,9.9625,10.11,10.4,-0.29,-2.79
15-DEC-2025,10.1075,10.8425,10.0475,10.25,10.1075,0.14,1.41
16-DEC-2025,10.25,10.4275,9.6625,10.06,10.25,-0.19,-1.85
17-DEC-2025,10.0625,10.1775,9.4825,9.84,10.0625,-0.22,-2.21
18-DEC-2025,9.8375,9.9475,9.6125,9.71,9.8375,-0.13,-1.30
19-DEC-2025,9.7075,10.3075,9.435,9.52,9.7075,-0.19,-1.93
22-DEC-2025,9.5225,9.8975,8.8625,9.68,9.5225,0.16,1.65
23-DEC-2025,9.675,9.785,9.3225,9.38,9.675,-0.30,-3.05
24-DEC-2025,9.3775,9.68,8.8825,9.19,9.3775,-0.19,-2.00
26-DEC-2025,9.19,9.395,9.02,9.15,9.19,-0.04,-0.44
29-DEC-2025,9.15,9.77,9.0475,9.72,9.15,0.57,6.23
30-DEC-2025,9.72,9.9875,9.5875,9.68,9.72,-0.04,-0.41
31-DEC-2025,9.6775,9.73,9.3125,9.48,9.6775,-0.20,-2.04
01-JAN-2026,9.475,9.475,8.72,9.19,9.475,-0.29,-3.01
02-JAN-2026,9.185,9.555,8.9675,9.45,9.185,0.27,2.89
05-JAN-2026,9.45,10.215,9.2925,10.02,9.45,0.57,6.03
06-JAN-2026,10.0225,10.285,9.6475,10.02,10.0225,0.00,-0.02
07-JAN-2026,10.0175,10.24,9.745,9.95,10.0175,-0.07,-0.67
08-JAN-2026,9.95,10.99,9.475,10.6,9.95,0.65,6.53
09-JAN-2026,10.6,11.035,10.2175,10.93,10.6,0.33,3.11
12-JAN-2026,10.925,11.945,10.5175,11.37,10.925,0.45,4.07
13-JAN-2026,11.3675,11.68,10.6375,11.2,11.3675,-0.17,-1.47
14-JAN-2026,11.1975,11.4725,11.0125,11.32,11.1975,0.12,1.09
16-JAN-2026,11.32,11.575,10.875,11.37,11.32,0.05,0.44
19-JAN-2026,11.3725,12.125,10.3925,11.83,11.3725,0.46,4.02
20-JAN-2026,11.8275,12.9025,10.995,12.73,11.8275,0.90,7.63
21-JAN-2026,12.73,14.43,12.4325,13.78,12.73,1.05,8.25
22-JAN-2026,13.78,14.3275,12.9075,13.35,13.78,-0.43,-3.12
23-JAN-2026,13.35,14.4325,12.2825,14.19,13.35,0.84,6.29
27-JAN-2026,14.1925,16.0575,13.9225,14.45,14.1925,0.26,1.81
28-JAN-2026,14.4525,14.51,13.44,13.53,14.4525,-0.92,-6.38
29-JAN-2026,13.525,14.1925,13.0725,13.37,13.525,-0.16,-1.15
30-JAN-2026,13.37,14.23,12.8825,13.63,13.37,0.26,1.94
01-FEB-2026,13.6325,16.1125,13.3475,15.1,13.6325,1.47,10.76
02-FEB-2026,15.095,15.5525,13.58,13.87,15.095,-1.23,-8.12
03-FEB-2026,13.865,15.465,11.85,12.9,13.865,-0.97,-6.96
04-FEB-2026,12.895,13.145,12.06,12.25,12.895,-0.65,-5.00
05-FEB-2026,12.2525,12.545,10.935,12.17,12.2525,-0.08,-0.67
06-FEB-2026,12.1675,12.345,11.16,11.94,12.1675,-0.23,-1.87
09-FEB-2026,11.94,12.28,10.67,12.19,11.94,0.25,2.09
10-FEB-2026,12.19,12.19,10.355,11.67,12.19,-0.52,-4.27
11-FEB-2026,11.665,11.7125,10.5575,11.55,11.665,-0.12,-0.99
12-FEB-2026,11.5475,12.1075,10.8475,11.73,11.5475,0.18,1.58
13-FEB-2026,11.725,13.5825,10.9625,13.29,11.725,1.57,13.35
16-FEB-2026,13.2925,13.8325,13.235,13.33,13.2925,0.04,0.28
17-FEB-2026,13.33,13.4775,11.625,12.67,13.33,-0.66,-4.95
18-FEB-2026,12.6725,12.7675,11.3525,12.22,12.6725,-0.45,-3.57
19-FEB-2026,12.2225,13.68,9.73,13.46,12.2225,1.24,10.12
20-FEB-2026,13.46,14.7825,13.095,14.36,13.46,0.90,6.69
23-FEB-2026,14.3625,14.4775,12.7725,14.17,14.3625,-0.19,-1.34
24-FEB-2026,14.1675,14.9475,12.3475,14.15,14.1675,-0.02,-0.12
25-FEB-2026,14.15,14.15,12.8375,13.49,14.15,-0.66,-4.66
26-FEB-2026,13.4875,13.605,11.8125,13.06,13.4875,-0.43,-3.17
27-FEB-2026,13.0625,14.035,11.2,13.7,13.0625,0.64,4.88
02-MAR-2026,13.7025,17.8125,12.825,17.13,13.7025,3.43,25.01
04-MAR-2026,17.13,21.3675,16.9675,21.14,17.13,4.01,23.41
05-MAR-2026,21.14,21.14,17.3025,17.86,21.14,-3.28,-15.52
06-MAR-2026,17.8575,20.1425,17.1975,19.88,17.8575,2.02,11.33
09-MAR-2026,19.88,24.4925,19.2175,23.36,19.88,3.48,17.51
10-MAR-2026,23.3625,23.3625,18.7775,18.91,23.3625,-4.45,-19.06
11-MAR-2026,18.905,21.385,17.24,21.06,18.905,2.16,11.40
12-MAR-2026,21.0625,22.355,20.8225,21.52,21.0625,0.46,2.17
13-MAR-2026,21.5175,22.8825,21.2475,22.65,21.5175,1.13,5.26
16-MAR-2026,22.645,22.875,19.82,21.6,22.645,-1.05,-4.61
17-MAR-2026,21.6025,21.6025,19.6275,19.79,21.6025,-1.81,-8.39
18-MAR-2026,19.79,19.79,18.5925,18.72,19.79,-1.07,-5.41
19-MAR-2026,18.7225,23.195,18.7225,22.8,18.7225,4.08,21.78
20-MAR-2026,22.8025,23.1375,21.685,22.81,22.8025,0.01,0.03
23-MAR-2026,22.8125,27.1725,22.8125,26.73,22.8125,3.92,17.17
24-MAR-2026,26.73,26.73,24.63,24.74,26.73,-1.99,-7.44
25-MAR-2026,24.74,25.23,24.135,24.64,24.74,-0.10,-0.40
27-MAR-2026,24.64,27.0875,23.385,26.8,24.64,2.16,8.77
30-MAR-2026,26.8025,28.9075,26.8025,27.89,26.8025,1.09,4.06
01-APR-2026,27.8875,27.8875,23.6475,25.01,27.8875,-2.88,-10.32
02-APR-2026,25.01,26.595,25.01,25.52,25.01,0.51,2.04
06-APR-2026,25.52,26.56,25.0825,25.47,25.52,-0.05,-0.20
07-APR-2026,25.4675,26.255,24.545,24.7,25.4675,-0.77,-3.01
08-APR-2026,24.695,24.695,19.305,19.7,24.695,-5.00,-20.23
09-APR-2026,19.6975,20.9425,19.1725,20.43,19.6975,0.73,3.72
10-APR-2026,20.4275,20.4275,18.37,18.85,20.4275,-1.58,-7.72
13-APR-2026,18.85,21.5075,18.1825,20.5,18.85,1.65,8.75
15-APR-2026,20.5,20.5,17.3375,18.67,20.5,-1.83,-8.93
16-APR-2026,18.6675,18.6675,16.8325,18.09,18.6675,-0.58,-3.09
17-APR-2026,18.085,18.47,16.5925,17.21,18.085,-0.88,-4.84
20-APR-2026,17.205,19.01,16.48,18.79,17.205,1.59,9.21
21-APR-2026,18.79,18.79,17.4525,17.53,18.79,-1.26,-6.71
22-APR-2026,17.5325,18.73,17.245,18.3,17.5325,0.77,4.38
23-APR-2026,18.3,19.12,17.49,18.59,18.3,0.29,1.58
24-APR-2026,18.59,19.895,18.0625,19.71,18.59,1.12,6.02
27-APR-2026,19.7125,19.7125,18.27,18.38,19.7125,-1.33,-6.76
28-APR-2026,18.3775,18.4075,17.2675,18.05,18.3775,-0.33,-1.78
29-APR-2026,18.0475,18.0475,16.75,17.44,18.0475,-0.61,-3.37
30-APR-2026,17.4375,19.48,17.185,18.46,17.4375,1.02,5.86
04-MAY-2026,18.46,18.875,16.7475,18.3,18.46,-0.16,-0.87
05-MAY-2026,18.3,18.8425,17.7125,17.91,18.3,-0.39,-2.13
06-MAY-2026,17.9075,18.0775,16.5775,16.68,17.9075,-1.23,-6.85
07-MAY-2026,16.6775,17.195,15.1675,16.62,16.6775,-0.06,-0.34
08-MAY-2026,16.62,17.425,16.1625,16.84,16.62,0.22,1.32
11-MAY-2026,16.84,18.9675,16.84,18.55,16.84,1.71,10.15
12-MAY-2026,18.5525,19.46,17.63,19.28,18.5525,0.73,3.92
13-MAY-2026,19.28,20.125,18.3575,19.43,19.28,0.15,0.78
14-MAY-2026,19.425,19.425,18.3875,18.61,19.425,-0.82,-4.20
15-MAY-2026,18.6125,19.0125,17.4225,18.79,18.6125,0.18,0.95
18-MAY-2026,18.79,20.0575,17.72,19.63,18.79,0.84,4.47
19-MAY-2026,19.63,19.63,18.2675,18.68,19.63,-0.95,-4.84
20-MAY-2026,18.675,19.455,18.0575,18.44,18.675,-0.24,-1.26
21-MAY-2026,18.44,18.44,17.425,17.82,18.44,-0.62,-3.36
22-MAY-2026,17.8225,19.025,16.465,17.91,17.8225,0.09,0.49
25-MAY-2026,17.91,17.91,16.3925,16.7,17.91,-1.21,-6.76
26-MAY-2026,16.7025,16.96,15.3625,16.13,16.7025,-0.57,-3.43
27-MAY-2026,16.1325,16.3275,14.6975,14.98,16.1325,-1.15,-7.14
29-MAY-2026,14.9825,16.5525,14.5925,16.19,14.9825,1.21,8.06
01-JUN-2026,16.185,16.9175,13.9125,16.54,16.185,0.36,2.19
02-JUN-2026,16.5425,16.5425,15.115,15.36,16.5425,-1.18,-7.15
03-JUN-2026,15.355,16.98,14.85,16.28,15.355,0.93,6.02
04-JUN-2026,16.2775,16.405,15.53,15.89,16.2775,-0.39,-2.38
05-JUN-2026,15.885,16.37,13.46,15.79,15.885,-0.10,-0.60
08-JUN-2026,15.7875,18.44,15.7875,17.03,15.7875,1.24,7.87
09-JUN-2026,17.0275,17.0275,15.5225,15.58,17.0275,-1.45,-8.50
10-JUN-2026,15.575,15.845,14.9025,15.63,15.575,0.06,0.35
11-JUN-2026,15.6325,15.945,15.1225,15.61,15.6325,-0.02,-0.14
12-JUN-2026,15.6125,15.6125,14.395,14.72,15.6125,-0.89,-5.72
15-JUN-2026,14.7175,14.7175,13.5575,14.35,14.7175,-0.37,-2.50
16-JUN-2026,14.3525,14.3525,13.01,13.36,14.3525,-0.99,-6.92
17-JUN-2026,13.3625,13.5325,12.35,13.19,13.3625,-0.17,-1.29
18-JUN-2026,13.1875,13.225,11.9925,12.67,13.1875,-0.52,-3.92
19-JUN-2026,12.6725,13.6425,12.07,12.97,12.6725,0.30,2.35
22-JUN-2026,12.97,13.51,12.6475,12.84,12.97,-0.13,-1.00
23-JUN-2026,12.8425,14.24,12.43,13.94,12.8425,1.10,8.55
24-JUN-2026,13.9425,14.3025,13.295,13.39,13.9425,-0.55,-3.96
